age,gender,height,weight,salary
26,1,179.84,75.89,76735
50,0,165.84,65.78,65587
43,0,168.9,49.59,72873
38,0,165.68,64.45,77874
46,0,162.56,48.64,39409
36,0,170.19,63.02,69242
43,1,181.25,72.48,36638
26,0,159.95,64.06,83716
32,0,148.59,53.41,48553
37,0,150.48,59.56,73246
27,0,171.94,56.03,36354
48,1,185.94,72.04,50173
53,0,154.54,50.4,81877
38,0,166.39,51.98,49961
49,1,156.13,75.04,86120
51,0,156.39,52.69,91555
49,0,149.88,64.35,82275
43,1,182.66,71.32,94092
54,0,177.72,61.37,54391
54,1,165.48,70.3,94688
33,1,180.89,77.29,45240
56,1,163.74,76.59,51617
30,1,163.61,74.73,35057
27,0,171.58,60.68,87178
55,1,185.42,50.42,37900
42,1,191.38,74.8,34155
49,0,174.45,62.04,31073
31,1,188.19,66.95,71763
50,1,167.43,74.75,47208
30,0,170.9,74.24,74357
59,1,164.93,87.92,86508
31,0,167.11,48.31,43621
43,0,156.42,52.95,44394
30,0,180.03,51.51,79635
34,1,178.19,55.62,53341
44,1,167.78,94.89,38362
41,1,183.17,89.17,47583
30,0,159.15,61.95,78105
52,1,170.54,79.49,33865
55,1,177.3,108.86,65322
25,0,164.94,62.83,72305
31,1,185.11,86.92,87609
31,1,172.61,69.55,74633
35,0,176.13,51.38,36028
37,0,162.51,48.55,41379
57,0,160.4,58.45,89947
42,0,160.96,68.87,58765
35,1,173.95,67.18,49253
53,1,171.3,83.17,74874
53,0,177.64,52.67,82855
38,1,177.44,84.6,53640
26,0,148.44,49.51,53846
37,1,170.16,53.2,93685
51,1,155.35,66.7,44775
37,1,166.2,72.81,34916
54,0,159.92,65.81,64659
32,1,164.29,79.72,33010
39,0,159.07,55.8,65682
26,1,181.22,84.84,94305
50,0,164.21,44.21,49157
54,1,192.57,67.09,49613
39,1,152.7,74.87,95731
26,0,159.77,53.55,82729
25,1,169.58,74.52,48048
35,0,176.71,43.15,99605
39,1,179.39,64.14,81216
46,1,184.79,79.85,53993
34,0,165.38,75.42,49542
43,0,161.42,67.55,87011
43,1,198.93,80.16,79573
43,0,167.81,44.66,30106
48,0,166.37,43.35,82085
34,0,169.0,57.99,45527
49,1,185.23,55.35,85004
41,0,174.08,51.75,48628
43,0,175.86,58.67,62328
38,1,208.52,70.06,99083
30,0,170.34,68.62,96300
49,0,168.39,50.69,79720
59,0,171.23,60.19,43946
33,0,167.81,53.23,94749
49,1,172.32,59.61,42166
54,0,172.67,58.96,36740
55,0,163.77,52.92,59876
37,0,177.21,45.19,73974
58,1,180.05,75.33,43994
55,0,168.71,69.68,95225
47,1,178.18,75.93,51135
52,0,147.05,54.13,95036
48,0,155.96,42.59,57031
42,0,167.25,60.05,60408
43,1,165.12,71.62,81280
31,1,183.99,59.93,43400
46,0,147.84,46.91,94011
34,0,172.6,68.98,35253
28,1,183.82,83.28,96694
54,1,164.48,74.05,88340
46,0,164.84,55.57,78770
52,1,171.59,98.15,79774
47,0,178.25,52.75,38924
